title,artist,bpm,genre,energy,valence,tempo_category,mood_score
Blinding Lights,The Weeknd,171,Pop,0.8,0.9,Fast,0.8500000000000001
Someone Like You,Adele,67,Ballad,0.3,0.2,Slow,0.25
Dynamite,BTS,114,Pop,0.7,0.8,Mid-tempo,0.75
Stay With Me,Sam Smith,84,Ballad,0.4,0.3,Mid-tempo,0.35
Levitating,Dua Lipa,103,Pop,0.8,0.9,Mid-tempo,0.8500000000000001
Golden Hour,JVKE,97,Pop,0.5,0.7,Mid-tempo,0.6
Peaches,Justin Bieber,110,R&B,0.6,0.7,Mid-tempo,0.6499999999999999
Watermelon Sugar,Harry Styles,95,Pop,0.7,0.8,Mid-tempo,0.75
Bad Guy,Billie Eilish,135,Pop,0.4,0.6,Fast,0.5
Shape of You,Ed Sheeran,96,Pop,0.8,0.9,Mid-tempo,0.8500000000000001
